# size tp, lat, bwr, bww, cpu, tps, brps, bwps
100 200 97833.6773234 60.5850074953 40044265.691 35782088.5943 36.8985576923 3101.77884615 0.0 39083.0 
1000 100 18266.0735106 140.265854326 41820060.4317 32669535.7041 25.4025471698 3420.81132075 0.0 42907.9245283 
10000 100 2076.1011883 241.666075335 43992373.8528 33402770.7392 22.2101886792 3599.80188679 0.0 45592.0754717 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
100 200 58048.8995523 92.5660117851 42343145.3336 35452909.3909 44.0576415094 3352.40084906 0.0 41924.5881132 
1000 110 16634.5743963 172.295290521 43406854.5181 33806052.059 28.3502830189 3561.8490566 0.0 44487.0943396 
10000 110 2063.54091278 267.21941254 44542253.5907 33810408.7562 23.7197272727 3567.08668831 0.0 45709.7662338 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
100 200 58048.8995523 92.5660117851 42343145.3336 35452909.3909 44.0576415094 3352.40084906 0.0 41924.5881132 
1000 110 16634.5743963 172.295290521 43406854.5181 33806052.059 28.3502830189 3561.8490566 0.0 44487.0943396 
10000 110 2063.54091278 267.21941254 44542253.5907 33810408.7562 23.7197272727 3567.08668831 0.0 45709.7662338 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
100 200 58048.8995523 92.5660117851 42343145.3336 35452909.3909 44.0576415094 3352.40084906 0.0 41924.5881132 
1000 110 16634.5743963 172.295290521 43406854.5181 33806052.059 28.3502830189 3561.8490566 0.0 44487.0943396 
10000 110 2063.54091278 267.21941254 44542253.5907 33810408.7562 23.7197272727 3567.08668831 0.0 45709.7662338 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
100 200 58048.8995523 92.5660117851 42343145.3336 35452909.3909 44.0576415094 3352.40084906 0.0 41924.5881132 
1000 110 16634.5743963 172.295290521 43406854.5181 33806052.059 28.3502830189 3561.8490566 0.0 44487.0943396 
10000 110 2063.54091278 267.21941254 44542253.5907 33810408.7562 23.7197272727 3567.08668831 0.0 45709.7662338 
