# size tp, lat, bwr, bww, cpu, tps, brps, bwps
100 105 140101.907265 28.0099025767 57494356.5068 51618359.3121 37.2699056604 2.86622641509 0.0 23.4582075472 
1000 64 39892.5759851 53.66335577 92205035.7279 72262055.8597 30.2279245283 2.48113207547 0.0 21.6603773585 
10000 20 4276.28320484 20.0724400707 91890015.9368 69698834.6186 24.0 2.43396226415 0.0 19.9245283019 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
100 60 98880.4496465 26.7515773044 71337075.0658 59776172.2346 49.4496428571 2.45241071429 0.0 20.1859821429 
1000 140 35306.9828256 107.512808677 92940440.5131 72597188.3017 38.5141742081 2.57692307692 0.0 21.6923076923 
10000 20 4145.65764857 20.5787400961 89144354.0343 67841340.5189 25.6150892857 2.50892857143 0.0 22.2857142857 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
100 60 98880.4496465 26.7515773044 71337075.0658 59776172.2346 49.4496428571 2.45241071429 0.0 20.1859821429 
1000 140 35306.9828256 107.512808677 92940440.5131 72597188.3017 38.5141742081 2.57692307692 0.0 21.6923076923 
10000 20 4145.65764857 20.5787400961 89144354.0343 67841340.5189 25.6150892857 2.50892857143 0.0 22.2857142857 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
100 60 98880.4496465 26.7515773044 71337075.0658 59776172.2346 49.4496428571 2.45241071429 0.0 20.1859821429 
1000 140 35306.9828256 107.512808677 92940440.5131 72597188.3017 38.5141742081 2.57692307692 0.0 21.6923076923 
10000 20 4145.65764857 20.5787400961 89144354.0343 67841340.5189 25.6150892857 2.50892857143 0.0 22.2857142857 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
100 60 98880.4496465 26.7515773044 71337075.0658 59776172.2346 49.4496428571 2.45241071429 0.0 20.1859821429 
1000 140 35306.9828256 107.512808677 92940440.5131 72597188.3017 38.5141742081 2.57692307692 0.0 21.6923076923 
10000 20 4145.65764857 20.5787400961 89144354.0343 67841340.5189 25.6150892857 2.50892857143 0.0 22.2857142857 
