# size tp, lat, bwr, bww, cpu, tps, brps, bwps
0.0 64 39892.5759851 53.66335577 92205035.7279 72262055.8597 30.2279245283 2.48113207547 0.0 21.6603773585 
0.01 81 40076.456461 63.2781641392 92931783.0362 72909874.7821 30.6379245283 2.40594339623 0.0 20.9833962264 
0.05 81 40639.5235262 62.3894901714 91058253.4297 71270848.1081 30.8198113208 2.7358490566 0.0 22.4905660377 
0.1 81 41722.0296992 60.7790939402 92882370.8739 72522691.1664 30.8912264151 2.70650943396 0.0 22.9351886792 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
0.0 140 35306.9828256 107.512808677 92940440.5131 72597188.3017 38.5141742081 2.57692307692 0.0 21.6923076923 
0.01 44 35326.4169971 44.7356579448 90952719.2924 70975725.6212 38.6273214286 2.66964285714 0.0 22.0714285714 
0.05 88 36033.0675024 72.201341189 93294997.3013 72519784.9597 39.2420754717 2.7641509434 0.0 22.641509434 
0.1 62 36398.2751882 55.6912587622 91930358.8068 71779935.9889 39.2211919448 2.66943396226 0.0 22.4120754717 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
0.0 140 35306.9828256 107.512808677 92940440.5131 72597188.3017 38.5141742081 2.57692307692 0.0 21.6923076923 
0.01 44 35326.4169971 44.7356579448 90952719.2924 70975725.6212 38.6273214286 2.66964285714 0.0 22.0714285714 
0.05 88 36033.0675024 72.201341189 93294997.3013 72519784.9597 39.2420754717 2.7641509434 0.0 22.641509434 
0.1 62 36398.2751882 55.6912587622 91930358.8068 71779935.9889 39.2211919448 2.66943396226 0.0 22.4120754717 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
0.0 140 35306.9828256 107.512808677 92940440.5131 72597188.3017 38.5141742081 2.57692307692 0.0 21.6923076923 
0.01 44 35326.4169971 44.7356579448 90952719.2924 70975725.6212 38.6273214286 2.66964285714 0.0 22.0714285714 
0.05 88 36033.0675024 72.201341189 93294997.3013 72519784.9597 39.2420754717 2.7641509434 0.0 22.641509434 
0.1 62 36398.2751882 55.6912587622 91930358.8068 71779935.9889 39.2211919448 2.66943396226 0.0 22.4120754717 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
0.0 140 35306.9828256 107.512808677 92940440.5131 72597188.3017 38.5141742081 2.57692307692 0.0 21.6923076923 
0.01 44 35326.4169971 44.7356579448 90952719.2924 70975725.6212 38.6273214286 2.66964285714 0.0 22.0714285714 
0.05 88 36033.0675024 72.201341189 93294997.3013 72519784.9597 39.2420754717 2.7641509434 0.0 22.641509434 
0.1 62 36398.2751882 55.6912587622 91930358.8068 71779935.9889 39.2211919448 2.66943396226 0.0 22.4120754717 
