# size tp, lat, bwr, bww, cpu, tps, brps, bwps
0.0 4 32715.1223813 16.4376065578 74955832.7748 58622594.9843 24.4633018868 2.86716981132 0.0 23.3902830189 
0.01 4 32496.8899249 17.0470082248 74387382.6096 58109043.0221 24.7153773585 2.40566037736 0.0 20.3773584906 
0.05 4 32839.4267013 17.8294701597 74334175.5052 58233222.7274 24.5866981132 2.60377358491 0.0 21.6603773585 
0.1 4 33189.21937 16.9964544766 72745867.8833 56881973.8543 24.4879245283 2.59433962264 0.0 22.0377358491 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
0.0 4 28191.7554131 16.4118820597 72908476.1821 56830946.0055 31.7601801378 2.78070175439 0.0 22.2456140351 
0.01 4 28253.0830304 16.6124723117 73631909.6509 57312118.9941 31.4797321429 1.98245614035 0.0 17.0526315789 
0.05 4 28356.2812994 16.528262642 72913851.0328 56794580.2712 31.5813392857 1.67543859649 0.0 17.4035087719 
0.1 4 28791.2283712 16.9857814424 71664285.328 56030105.5609 31.5491071429 1.69298245614 0.0 16.2807017544 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
0.0 4 28191.7554131 16.4118820597 72908476.1821 56830946.0055 31.7601801378 2.78070175439 0.0 22.2456140351 
0.01 4 28253.0830304 16.6124723117 73631909.6509 57312118.9941 31.4797321429 1.98245614035 0.0 17.0526315789 
0.05 4 28356.2812994 16.528262642 72913851.0328 56794580.2712 31.5813392857 1.67543859649 0.0 17.4035087719 
0.1 4 28791.2283712 16.9857814424 71664285.328 56030105.5609 31.5491071429 1.69298245614 0.0 16.2807017544 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
0.0 4 28191.7554131 16.4118820597 72908476.1821 56830946.0055 31.7601801378 2.78070175439 0.0 22.2456140351 
0.01 4 28253.0830304 16.6124723117 73631909.6509 57312118.9941 31.4797321429 1.98245614035 0.0 17.0526315789 
0.05 4 28356.2812994 16.528262642 72913851.0328 56794580.2712 31.5813392857 1.67543859649 0.0 17.4035087719 
0.1 4 28791.2283712 16.9857814424 71664285.328 56030105.5609 31.5491071429 1.69298245614 0.0 16.2807017544 
# size tp, lat, bwr, bww, cpu, tps, brps, bwps
0.0 4 28191.7554131 16.4118820597 72908476.1821 56830946.0055 31.7601801378 2.78070175439 0.0 22.2456140351 
0.01 4 28253.0830304 16.6124723117 73631909.6509 57312118.9941 31.4797321429 1.98245614035 0.0 17.0526315789 
0.05 4 28356.2812994 16.528262642 72913851.0328 56794580.2712 31.5813392857 1.67543859649 0.0 17.4035087719 
0.1 4 28791.2283712 16.9857814424 71664285.328 56030105.5609 31.5491071429 1.69298245614 0.0 16.2807017544 
