Time Verties Edges
1 1.566 0.096
2 3.732 0.279
3 6.386 0.614
4 9.799 1.166
5 13.047 1.822
6 16.014 2.487
7 19.238 3.333
8 22.3 4.28
9 25.086 5.24
10 27.837 6.308
11 30.524 7.53
12 33.053 8.73
13 35.57 9.987
14 37.968 11.341
15 40.188 12.738
16 42.388 14.241
17 44.657 15.787
18 46.836 17.543
19 48.833 19.27
20 50.925 21.052
21 52.857 22.821
22 54.636 24.644
23 56.473 26.636
24 58.21 28.614
25 59.868 30.659
26 61.489 32.845
27 62.941 34.971
28 64.425 37.208
29 65.898 39.451
30 67.261 41.829
31 68.675 44.212
32 69.851 46.425
33 71.128 49.045
34 72.328 51.506
35 73.516 54.268
36 74.699 57.014
37 75.721 59.71
38 76.858 62.637
39 77.923 65.612
40 78.959 68.703
41 79.848 71.511
42 80.731 74.384
43 81.648 77.626
44 82.464 80.882
45 83.322 84.233
46 84.093 87.291
47 84.893 90.85
48 85.605 94.097
49 86.252 97.57
50 86.961 101.302
51 87.595 105.117
52 88.199 109.029
53 88.866 112.734
54 89.456 116.795
55 89.925 120.403
56 90.45 124.611
57 90.994 129.117
58 91.563 133.86
59 92.04 138.497
60 92.507 143.272
61 92.939 147.998
62 93.384 152.793
63 93.738 157.131
64 94.07 161.914
65 94.425 166.726
66 94.75 171.432
67 95.035 175.992
68 95.314 180.967
69 95.57 185.352
70 95.815 189.958
71 96.042 194.665
72 96.264 199.249
73 96.461 204.076
74 96.649 208.554
75 96.857 213.482
76 97.026 217.846
77 97.187 222.509
78 97.341 227.155
79 97.469 231.498
80 97.61 236.104
81 97.734 240.127
82 97.858 244.757
83 97.974 249.525
84 98.078 253.922
85 98.166 258.199
86 98.243 262.166
87 98.346 266.824
88 98.419 271.081
89 98.505 275.159
90 98.586 279.355
91 98.637 283.328
92 98.701 287.648
93 98.765 291.779
94 98.821 296.096
95 98.889 300.296
96 98.934 304.238
97 98.978 308.194
98 99.027 311.692
99 99.07 315.799
100 99.115 319.951
101 99.147 324.061
102 99.181 327.61
103 99.219 332.019
104 99.254 335.813
105 99.287 339.588
106 99.309 343.764
107 99.342 347.637
108 99.373 352.137
109 99.392 355.854
110 99.418 359.942
111 99.45 364.433
112 99.473 368.397
113 99.49 372.242
114 99.508 376.369
115 99.53 380.032
116 99.546 384.112
117 99.567 388.133
118 99.582 391.787
119 99.601 395.74
120 99.613 399.623
121 99.628 403.402
122 99.639 407.239
123 99.65 410.87
