Time  DynaStar DS-SMR
-1 13.027279126 12.8389594682
0 12.300761854 10.9978927122
1 12.659617147 11.9452156391
2 12.655090716 11.333885541
3 12.98462835 11.0551952311
4 12.298094719 11.1257265857
5 12.890817521 10.8474074019
6 12.54918043 12.3394623214
7 12.221092739 10.3828567805
8 12.813149597 10.4569992336
9 14.030882629 13.8837206644
10 14.469892984 12.2111432609
11 13.333454957 14.7080884205
12 12.219215867 12.1229399455
13 12.969747082 11.495817825
14 12.837408756 12.5828087681
15 14.276588119 11.89701828
16 15.238818918 11.8852332777
17 14.384811137 13.1212465195
18 15.511258302 12.4144291479
19 15.057803968 11.013405804
20 14.690353368 13.2223657597
21 15.439535357 16.3473920917
22 15.108945788 15.3023935052
23 15.751121401 13.5895208489
24 15.276625917 14.9287835581
25 15.169694965 15.4490201431
26 15.76784411 13.0111198859
27 14.98553588 14.8011332884
28 15.623380523 15.9619822518
29 15.402069964 14.2583856269
30 15.624966665 13.441055582
31 15.821962606 13.8814528636
32 17.833031901 16.6010948661
33 18.456163572 15.5197658
34 18.503323504 15.7917613028
35 17.89543929 15.5639777172
36 15.957339017 15.5059607916
37 16.584161866 14.187073558
38 17.001033328 14.2336652165
39 16.930406185 15.3024835384
40 17.507395065 14.7187384372
41 17.317876368 16.6229232395
42 18.418440458 15.1626477303
43 18.352711541 18.6602401351
44 19.339931835 18.9352772333
45 18.787602406 18.8802323996
46 18.512859541 17.4104391523
47 18.288964043 18.6802817287
48 18.807079048 19.7119977836
49 19.098602195 19.7567462129
50 20.809789161 19.4851957046
51 20.188834706 19.4470660108
52 20.023667916 20.9617360172
53 19.825066594 18.9922527516
54 20.62910655 17.4174961276
55 20.343913676 17.5476604339
56 20.80597591 18.3672054878
57 20.120342012 18.5783133673
58 19.901108199 16.1948405045
59 20.757482553 20.1291479123
60 19.986561873 18.2151472928
61 19.784653149 18.808334461
62 19.749432316 19.770235868
63 20.393499374 18.1003007676
64 19.70717979 20.1172691028
65 20.046217385 21.2580701439
66 19.133465461 20.1388861259
67 19.811030046 19.3564466745
68 18.661399058 18.1930763222
69 19.576574492 18.118487552
70 19.354268503 17.5658069368
71 18.598075408 16.2713958342
72 18.756843195 15.4886357087
73 18.854402075 16.7391146139
74 18.918775154 15.2351536074
75 18.29329071 15.4037441567
76 18.662755252 16.7000952544
77 18.204398039 15.9173822193
78 19.00712097 14.938688358
79 18.548680556 14.9045816557
80 17.078869597 14.7340757153
81 17.736560971 14.5001063944
82 17.088084764 14.0319850215
83 18.152275706 14.2498130565
84 17.877145264 15.8412767717
85 16.748646575 14.4829659491
86 17.873244634 14.2166124728
87 16.651904118 14.1301004118
88 17.886724935 15.5145347397
89 16.716486401 14.7449344692
